type,selected_severity,description,location,target_severity,model_text
CLEANLINESS,LOW,יש קצת לכלוך בלובי,ליד ארון החשמל,LOW,type_CLEANLINESS selected_LOW location_ליד ארון החשמל יש קצת לכלוך בלובי
OTHER,MEDIUM,בעיה חמורה שמסכנת דיירים,בגינה,HIGH,type_OTHER selected_MEDIUM location_בגינה בעיה חמורה שמסכנת דיירים
NOISE,LOW,מוזיקה חזקה מהדירה מעל כבר כמה שעות הדיירים התלוננו על זה,בכניסה לבניין,MEDIUM,type_NOISE selected_LOW location_בכניסה לבניין מוזיקה חזקה מהדירה מעל כבר כמה שעות הדיירים התלוננו על זה
NOISE,LOW,מישהו הזיז רהיטים לזמן קצר הדיירים התלוננו על זה,בלובי,LOW,type_NOISE selected_LOW location_בלובי מישהו הזיז רהיטים לזמן קצר הדיירים התלוננו על זה
OTHER,MEDIUM,אירוע חירום שדורש טיפול מיידי,בקומה 2,HIGH,type_OTHER selected_MEDIUM location_בקומה 2 אירוע חירום שדורש טיפול מיידי
OTHER,HIGH,בעיה חמורה שמסכנת דיירים,במחסן,HIGH,type_OTHER selected_HIGH location_במחסן בעיה חמורה שמסכנת דיירים
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים,בקומה 2,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 2 תקלה שמשפיעה על כמה דיירים
SAFETY,MEDIUM,עשן יוצא מחדר החשמל,,HIGH,type_SAFETY selected_MEDIUM location_ עשן יוצא מחדר החשמל
SAFETY,MEDIUM,מרצפת שבורה שעלולה לגרום לנפילה הדיירים התלוננו על זה,,MEDIUM,type_SAFETY selected_MEDIUM location_ מרצפת שבורה שעלולה לגרום לנפילה הדיירים התלוננו על זה
OTHER,MEDIUM,יש הערה קטנה לגבי תחזוקה הדיירים התלוננו על זה,בקומה 5,LOW,type_OTHER selected_MEDIUM location_בקומה 5 יש הערה קטנה לגבי תחזוקה הדיירים התלוננו על זה
CLEANLINESS,LOW,צריך ניקיון רגיל בחדר מדרגות הדיירים התלוננו על זה,ליד המעלית,LOW,type_CLEANLINESS selected_LOW location_ליד המעלית צריך ניקיון רגיל בחדר מדרגות הדיירים התלוננו על זה
OTHER,HIGH,מצב מסוכן שמצריך טיפול בהול נא לטפל בהקדם,בקומה 1,HIGH,type_OTHER selected_HIGH location_בקומה 1 מצב מסוכן שמצריך טיפול בהול נא לטפל בהקדם
NOISE,HIGH,קולות חזקים של שבירה ואלימות מהדירה,במחסן,HIGH,type_NOISE selected_HIGH location_במחסן קולות חזקים של שבירה ואלימות מהדירה
CLEANLINESS,HIGH,ביוב עולה ויש ריח חריף מאוד זה קורה כבר כמה פעמים,בקומה 2,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 2 ביוב עולה ויש ריח חריף מאוד זה קורה כבר כמה פעמים
SAFETY,LOW,תאורה חלשה באזור הכניסה,,LOW,type_SAFETY selected_LOW location_ תאורה חלשה באזור הכניסה
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי זה קורה כבר כמה פעמים,במחסן,HIGH,type_SAFETY selected_HIGH location_במחסן יש ניצוצות מארון החשמל בלובי זה קורה כבר כמה פעמים
OTHER,LOW,דיווח כללי ללא סכנה נא לטפל בהקדם,בקומה 2,LOW,type_OTHER selected_LOW location_בקומה 2 דיווח כללי ללא סכנה נא לטפל בהקדם
SAFETY,LOW,מעקה מעט רופף אבל לא נראה מסוכן כרגע,בקומה 2,LOW,type_SAFETY selected_LOW location_בקומה 2 מעקה מעט רופף אבל לא נראה מסוכן כרגע
CLEANLINESS,HIGH,נזילה חזקה שגורמת להצפה,ליד המעלית,HIGH,type_CLEANLINESS selected_HIGH location_ליד המעלית נזילה חזקה שגורמת להצפה
OTHER,MEDIUM,תקלה דחופה מאוד בבניין,ליד המעלית,HIGH,type_OTHER selected_MEDIUM location_ליד המעלית תקלה דחופה מאוד בבניין
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים זה קורה כבר כמה פעמים נא לטפל בהקדם,בקומה 1,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 1 תקלה שמשפיעה על כמה דיירים זה קורה כבר כמה פעמים נא לטפל בהקדם
SAFETY,LOW,יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים,,LOW,type_SAFETY selected_LOW location_ יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים
OTHER,MEDIUM,נדרש טיפול של ועד הבית בזמן הקרוב,בקומה 2,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 2 נדרש טיפול של ועד הבית בזמן הקרוב
OTHER,MEDIUM,נדרש טיפול של ועד הבית בזמן הקרוב,בחדר מדרגות,MEDIUM,type_OTHER selected_MEDIUM location_בחדר מדרגות נדרש טיפול של ועד הבית בזמן הקרוב
SAFETY,HIGH,שריפה קטנה בלובי,בקומה 2,HIGH,type_SAFETY selected_HIGH location_בקומה 2 שריפה קטנה בלובי
SAFETY,MEDIUM,יש ריח שרוף ליד ארון החשמל,בחדר מדרגות,HIGH,type_SAFETY selected_MEDIUM location_בחדר מדרגות יש ריח שרוף ליד ארון החשמל
SAFETY,LOW,מעלית תקועה עם אנשים בפנים זה קורה כבר כמה פעמים,בקומה 1,HIGH,type_SAFETY selected_LOW location_בקומה 1 מעלית תקועה עם אנשים בפנים זה קורה כבר כמה פעמים
NOISE,LOW,מישהו הזיז רהיטים לזמן קצר הדיירים התלוננו על זה,,LOW,type_NOISE selected_LOW location_ מישהו הזיז רהיטים לזמן קצר הדיירים התלוננו על זה
SAFETY,HIGH,תאורה חלשה באזור הכניסה נא לטפל בהקדם,בכניסה לבניין,LOW,type_SAFETY selected_HIGH location_בכניסה לבניין תאורה חלשה באזור הכניסה נא לטפל בהקדם
CLEANLINESS,LOW,צריך ניקיון רגיל בחדר מדרגות זה קורה כבר כמה פעמים,ליד ארון החשמל,LOW,type_CLEANLINESS selected_LOW location_ליד ארון החשמל צריך ניקיון רגיל בחדר מדרגות זה קורה כבר כמה פעמים
NOISE,LOW,יש דיבורים בקומה אבל זה לא מפריע מאוד זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בקומה 2,LOW,type_NOISE selected_LOW location_בקומה 2 יש דיבורים בקומה אבל זה לא מפריע מאוד זה קורה כבר כמה פעמים הדיירים התלוננו על זה
OTHER,HIGH,בעיה חמורה שמסכנת דיירים,ליד ארון החשמל,HIGH,type_OTHER selected_HIGH location_ליד ארון החשמל בעיה חמורה שמסכנת דיירים
OTHER,HIGH,אירוע חירום שדורש טיפול מיידי הדיירים התלוננו על זה,בחדר אשפה,HIGH,type_OTHER selected_HIGH location_בחדר אשפה אירוע חירום שדורש טיפול מיידי הדיירים התלוננו על זה
SAFETY,MEDIUM,יש ונדליזם ליד המעלית,ליד ארון החשמל,MEDIUM,type_SAFETY selected_MEDIUM location_ליד ארון החשמל יש ונדליזם ליד המעלית
NOISE,HIGH,רעש חירום חזק מהחניה בשעות הלילה,בחדר אשפה,HIGH,type_NOISE selected_HIGH location_בחדר אשפה רעש חירום חזק מהחניה בשעות הלילה
SAFETY,MEDIUM,יש סכנת התחשמלות זה קורה כבר כמה פעמים,בחדר מדרגות,HIGH,type_SAFETY selected_MEDIUM location_בחדר מדרגות יש סכנת התחשמלות זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,שקיות זבל נשארו ליד הכניסה,בגינה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בגינה שקיות זבל נשארו ליד הכניסה
NOISE,MEDIUM,רעש חזק בלילה שמפריע לדיירים,בחדר אשפה,MEDIUM,type_NOISE selected_MEDIUM location_בחדר אשפה רעש חזק בלילה שמפריע לדיירים
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע,בגינה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בגינה יש הרבה אשפה בחדר אשפה וריח רע
OTHER,HIGH,אירוע חריג שמצריך תגובה מיידית,בחדר אשפה,HIGH,type_OTHER selected_HIGH location_בחדר אשפה אירוע חריג שמצריך תגובה מיידית
OTHER,HIGH,תקלה דחופה מאוד בבניין זה קורה כבר כמה פעמים נא לטפל בהקדם,בלובי,HIGH,type_OTHER selected_HIGH location_בלובי תקלה דחופה מאוד בבניין זה קורה כבר כמה פעמים נא לטפל בהקדם
CLEANLINESS,LOW,אשפה מסוכנת מפוזרת בכניסה לבניין זה קורה כבר כמה פעמים,בלובי,HIGH,type_CLEANLINESS selected_LOW location_בלובי אשפה מסוכנת מפוזרת בכניסה לבניין זה קורה כבר כמה פעמים
OTHER,MEDIUM,תקלה לא מסוכנת אבל מפריעה לדיירים,במחסן,MEDIUM,type_OTHER selected_MEDIUM location_במחסן תקלה לא מסוכנת אבל מפריעה לדיירים
NOISE,MEDIUM,קולות חזקים של שבירה ואלימות מהדירה נא לטפל בהקדם,בחדר אשפה,HIGH,type_NOISE selected_MEDIUM location_בחדר אשפה קולות חזקים של שבירה ואלימות מהדירה נא לטפל בהקדם
CLEANLINESS,MEDIUM,יש ריח לא נעים בלובי כבר יומיים הדיירים התלוננו על זה,בקומה 2,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בקומה 2 יש ריח לא נעים בלובי כבר יומיים הדיירים התלוננו על זה
OTHER,LOW,מצב מסוכן שמצריך טיפול בהול,בקומה 5,HIGH,type_OTHER selected_LOW location_בקומה 5 מצב מסוכן שמצריך טיפול בהול
SAFETY,HIGH,עשן יוצא מחדר החשמל נא לטפל בהקדם,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה עשן יוצא מחדר החשמל נא לטפל בהקדם
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף זה קורה כבר כמה פעמים נא לטפל בהקדם,בקומה 2,LOW,type_NOISE selected_LOW location_בקומה 2 יש רעש חלש מדי פעם אבל לא דחוף זה קורה כבר כמה פעמים נא לטפל בהקדם
SAFETY,MEDIUM,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה,בחדר אשפה,MEDIUM,type_SAFETY selected_MEDIUM location_בחדר אשפה תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה
OTHER,HIGH,בקשה כללית לבדיקה כשאפשר זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר מדרגות,LOW,type_OTHER selected_HIGH location_בחדר מדרגות בקשה כללית לבדיקה כשאפשר זה קורה כבר כמה פעמים הדיירים התלוננו על זה
NOISE,LOW,יש דיבורים בקומה אבל זה לא מפריע מאוד,בחדר אשפה,LOW,type_NOISE selected_LOW location_בחדר אשפה יש דיבורים בקומה אבל זה לא מפריע מאוד
CLEANLINESS,LOW,צריך ניקיון רגיל בחדר מדרגות נא לטפל בהקדם,ליד ארון החשמל,LOW,type_CLEANLINESS selected_LOW location_ליד ארון החשמל צריך ניקיון רגיל בחדר מדרגות נא לטפל בהקדם
SAFETY,HIGH,עשן יוצא מחדר החשמל נא לטפל בהקדם,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה עשן יוצא מחדר החשמל נא לטפל בהקדם
NOISE,HIGH,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר מדרגות,HIGH,type_NOISE selected_HIGH location_בחדר מדרגות רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות זה קורה כבר כמה פעמים הדיירים התלוננו על זה
OTHER,HIGH,בעיה חמורה שמסכנת דיירים נא לטפל בהקדם,במחסן,HIGH,type_OTHER selected_HIGH location_במחסן בעיה חמורה שמסכנת דיירים נא לטפל בהקדם
SAFETY,LOW,מעקה מעט רופף אבל לא נראה מסוכן כרגע נא לטפל בהקדם,בגינה,LOW,type_SAFETY selected_LOW location_בגינה מעקה מעט רופף אבל לא נראה מסוכן כרגע נא לטפל בהקדם
SAFETY,MEDIUM,מעקה רופף שצריך תיקון בהקדם זה קורה כבר כמה פעמים,ליד המעלית,MEDIUM,type_SAFETY selected_MEDIUM location_ליד המעלית מעקה רופף שצריך תיקון בהקדם זה קורה כבר כמה פעמים
OTHER,MEDIUM,בעיה חמורה שמסכנת דיירים זה קורה כבר כמה פעמים,בגינה,HIGH,type_OTHER selected_MEDIUM location_בגינה בעיה חמורה שמסכנת דיירים זה קורה כבר כמה פעמים
SAFETY,HIGH,מעלית תקועה עם אנשים בפנים,ליד המעלית,HIGH,type_SAFETY selected_HIGH location_ליד המעלית מעלית תקועה עם אנשים בפנים
OTHER,LOW,דיווח כללי ללא סכנה,במחסן,LOW,type_OTHER selected_LOW location_במחסן דיווח כללי ללא סכנה
CLEANLINESS,LOW,לכלוך חמור שעלול לגרום לסכנה בריאותית הדיירים התלוננו על זה,בלובי,HIGH,type_CLEANLINESS selected_LOW location_בלובי לכלוך חמור שעלול לגרום לסכנה בריאותית הדיירים התלוננו על זה
CLEANLINESS,LOW,יש כמה ניירות על הרצפה נא לטפל בהקדם,בחניה,LOW,type_CLEANLINESS selected_LOW location_בחניה יש כמה ניירות על הרצפה נא לטפל בהקדם
SAFETY,MEDIUM,מעקה מעט רופף אבל לא נראה מסוכן כרגע,במחסן,LOW,type_SAFETY selected_MEDIUM location_במחסן מעקה מעט רופף אבל לא נראה מסוכן כרגע
SAFETY,MEDIUM,יש ריח שרוף ליד ארון החשמל נא לטפל בהקדם הדיירים התלוננו על זה,בקומה 2,HIGH,type_SAFETY selected_MEDIUM location_בקומה 2 יש ריח שרוף ליד ארון החשמל נא לטפל בהקדם הדיירים התלוננו על זה
SAFETY,MEDIUM,יש בורג חסר בשלט של הבניין,בקומה 2,LOW,type_SAFETY selected_MEDIUM location_בקומה 2 יש בורג חסר בשלט של הבניין
SAFETY,MEDIUM,מעלית תקועה עם אנשים בפנים,בחדר אשפה,HIGH,type_SAFETY selected_MEDIUM location_בחדר אשפה מעלית תקועה עם אנשים בפנים
NOISE,HIGH,שומעים מעט רעש מהשכנים במהלך היום זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר מדרגות,LOW,type_NOISE selected_HIGH location_בחדר מדרגות שומעים מעט רעש מהשכנים במהלך היום זה קורה כבר כמה פעמים הדיירים התלוננו על זה
OTHER,MEDIUM,מצב מסוכן שמצריך טיפול בהול,במחסן,HIGH,type_OTHER selected_MEDIUM location_במחסן מצב מסוכן שמצריך טיפול בהול
OTHER,HIGH,אירוע חירום שדורש טיפול מיידי הדיירים התלוננו על זה,בקומה 2,HIGH,type_OTHER selected_HIGH location_בקומה 2 אירוע חירום שדורש טיפול מיידי הדיירים התלוננו על זה
OTHER,HIGH,אירוע חירום שדורש טיפול מיידי,בגינה,HIGH,type_OTHER selected_HIGH location_בגינה אירוע חירום שדורש טיפול מיידי
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי יש ניצוצות מארון החשמל בלובי
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף נא לטפל בהקדם,ליד המעלית,LOW,type_NOISE selected_LOW location_ליד המעלית יש רעש חלש מדי פעם אבל לא דחוף נא לטפל בהקדם
NOISE,LOW,מישהו הזיז רהיטים לזמן קצר,בגינה,LOW,type_NOISE selected_LOW location_בגינה מישהו הזיז רהיטים לזמן קצר
NOISE,LOW,מישהו הזיז רהיטים לזמן קצר נא לטפל בהקדם,בחדר מדרגות,LOW,type_NOISE selected_LOW location_בחדר מדרגות מישהו הזיז רהיטים לזמן קצר נא לטפל בהקדם
CLEANLINESS,MEDIUM,יש ריח לא נעים בלובי כבר יומיים,בקומה 5,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בקומה 5 יש ריח לא נעים בלובי כבר יומיים
NOISE,LOW,רעש קל מהחצר בשעות היום זה קורה כבר כמה פעמים,ליד ארון החשמל,LOW,type_NOISE selected_LOW location_ליד ארון החשמל רעש קל מהחצר בשעות היום זה קורה כבר כמה פעמים
SAFETY,HIGH,יש ריח שרוף ליד ארון החשמל זה קורה כבר כמה פעמים,במחסן,HIGH,type_SAFETY selected_HIGH location_במחסן יש ריח שרוף ליד ארון החשמל זה קורה כבר כמה פעמים
SAFETY,LOW,מרצפת מעט עקומה ללא סכנה מיידית נא לטפל בהקדם,בקומה 5,LOW,type_SAFETY selected_LOW location_בקומה 5 מרצפת מעט עקומה ללא סכנה מיידית נא לטפל בהקדם
OTHER,MEDIUM,יש בעיה מתמשכת בבניין זה קורה כבר כמה פעמים נא לטפל בהקדם,בקומה 5,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 5 יש בעיה מתמשכת בבניין זה קורה כבר כמה פעמים נא לטפל בהקדם
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בלובי,MEDIUM,type_OTHER selected_MEDIUM location_בלובי תקלה שמשפיעה על כמה דיירים זה קורה כבר כמה פעמים הדיירים התלוננו על זה
NOISE,MEDIUM,יש דיבורים בקומה אבל זה לא מפריע מאוד,בקומה 2,LOW,type_NOISE selected_MEDIUM location_בקומה 2 יש דיבורים בקומה אבל זה לא מפריע מאוד
NOISE,LOW,יש דיבורים בקומה אבל זה לא מפריע מאוד הדיירים התלוננו על זה,בלובי,LOW,type_NOISE selected_LOW location_בלובי יש דיבורים בקומה אבל זה לא מפריע מאוד הדיירים התלוננו על זה
NOISE,MEDIUM,מוזיקה חזקה מהדירה מעל כבר כמה שעות,ליד המעלית,MEDIUM,type_NOISE selected_MEDIUM location_ליד המעלית מוזיקה חזקה מהדירה מעל כבר כמה שעות
CLEANLINESS,LOW,יש קצת לכלוך בלובי זה קורה כבר כמה פעמים נא לטפל בהקדם,בגינה,LOW,type_CLEANLINESS selected_LOW location_בגינה יש קצת לכלוך בלובי זה קורה כבר כמה פעמים נא לטפל בהקדם
NOISE,HIGH,קולות חזקים של שבירה ואלימות מהדירה זה קורה כבר כמה פעמים,,HIGH,type_NOISE selected_HIGH location_ קולות חזקים של שבירה ואלימות מהדירה זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,נזילה קטנה שגרמה לרטיבות בקיר הדיירים התלוננו על זה,ליד המעלית,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ליד המעלית נזילה קטנה שגרמה לרטיבות בקיר הדיירים התלוננו על זה
CLEANLINESS,MEDIUM,נזילה קטנה שגרמה לרטיבות בקיר נא לטפל בהקדם,ליד ארון החשמל,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ליד ארון החשמל נזילה קטנה שגרמה לרטיבות בקיר נא לטפל בהקדם
SAFETY,LOW,יש סכנת התחשמלות נא לטפל בהקדם,בחדר מדרגות,HIGH,type_SAFETY selected_LOW location_בחדר מדרגות יש סכנת התחשמלות נא לטפל בהקדם
SAFETY,LOW,מעקה מעט רופף אבל לא נראה מסוכן כרגע,בחניה,LOW,type_SAFETY selected_LOW location_בחניה מעקה מעט רופף אבל לא נראה מסוכן כרגע
NOISE,LOW,יש דיבורים בקומה אבל זה לא מפריע מאוד,בקומה 2,LOW,type_NOISE selected_LOW location_בקומה 2 יש דיבורים בקומה אבל זה לא מפריע מאוד
OTHER,MEDIUM,יש בעיה מתמשכת בבניין,בקומה 2,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 2 יש בעיה מתמשכת בבניין
OTHER,LOW,דיווח כללי ללא סכנה,,LOW,type_OTHER selected_LOW location_ דיווח כללי ללא סכנה
NOISE,HIGH,מטרד רעש קיצוני ומתמשך,בכניסה לבניין,HIGH,type_NOISE selected_HIGH location_בכניסה לבניין מטרד רעש קיצוני ומתמשך
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול,בקומה 5,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 5 בעיה שחוזרת כמה פעמים ודורשת טיפול
CLEANLINESS,MEDIUM,לכלוך חריג בחדר מדרגות,בגינה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בגינה לכלוך חריג בחדר מדרגות
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים נא לטפל בהקדם,בחדר אשפה,MEDIUM,type_OTHER selected_MEDIUM location_בחדר אשפה תקלה שמשפיעה על כמה דיירים נא לטפל בהקדם
CLEANLINESS,MEDIUM,לכלוך חמור שעלול לגרום לסכנה בריאותית,ליד המעלית,HIGH,type_CLEANLINESS selected_MEDIUM location_ליד המעלית לכלוך חמור שעלול לגרום לסכנה בריאותית
NOISE,MEDIUM,מוזיקה חזקה מהדירה מעל כבר כמה שעות זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בקומה 2,MEDIUM,type_NOISE selected_MEDIUM location_בקומה 2 מוזיקה חזקה מהדירה מעל כבר כמה שעות זה קורה כבר כמה פעמים הדיירים התלוננו על זה
CLEANLINESS,LOW,לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים,בחדר מדרגות,MEDIUM,type_CLEANLINESS selected_LOW location_בחדר מדרגות לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים
CLEANLINESS,HIGH,הצפה בחדר מדרגות ומים זורמים נא לטפל בהקדם,,HIGH,type_CLEANLINESS selected_HIGH location_ הצפה בחדר מדרגות ומים זורמים נא לטפל בהקדם
NOISE,HIGH,מטרד רעש קיצוני ומתמשך,בקומה 1,HIGH,type_NOISE selected_HIGH location_בקומה 1 מטרד רעש קיצוני ומתמשך
OTHER,HIGH,תקלה דחופה מאוד בבניין,ליד המעלית,HIGH,type_OTHER selected_HIGH location_ליד המעלית תקלה דחופה מאוד בבניין
CLEANLINESS,MEDIUM,נזילה חזקה שגורמת להצפה,בכניסה לבניין,HIGH,type_CLEANLINESS selected_MEDIUM location_בכניסה לבניין נזילה חזקה שגורמת להצפה
NOISE,MEDIUM,קולות חזקים של שבירה ואלימות מהדירה נא לטפל בהקדם הדיירים התלוננו על זה,במחסן,HIGH,type_NOISE selected_MEDIUM location_במחסן קולות חזקים של שבירה ואלימות מהדירה נא לטפל בהקדם הדיירים התלוננו על זה
NOISE,HIGH,קולות חזקים של שבירה ואלימות מהדירה,ליד המעלית,HIGH,type_NOISE selected_HIGH location_ליד המעלית קולות חזקים של שבירה ואלימות מהדירה
CLEANLINESS,HIGH,הצפה בחדר מדרגות ומים זורמים,בקומה 5,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 5 הצפה בחדר מדרגות ומים זורמים
SAFETY,LOW,שריפה קטנה בלובי,בגינה,HIGH,type_SAFETY selected_LOW location_בגינה שריפה קטנה בלובי
NOISE,HIGH,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות זה קורה כבר כמה פעמים,בכניסה לבניין,HIGH,type_NOISE selected_HIGH location_בכניסה לבניין רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות זה קורה כבר כמה פעמים
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף,,LOW,type_NOISE selected_LOW location_ יש רעש חלש מדי פעם אבל לא דחוף
NOISE,HIGH,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות זה קורה כבר כמה פעמים,בקומה 1,HIGH,type_NOISE selected_HIGH location_בקומה 1 רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש קצת לכלוך בלובי,בקומה 1,LOW,type_CLEANLINESS selected_LOW location_בקומה 1 יש קצת לכלוך בלובי
NOISE,HIGH,רעש חריג מאוד באמצע הלילה עם צעקות חזקות זה קורה כבר כמה פעמים,במחסן,HIGH,type_NOISE selected_HIGH location_במחסן רעש חריג מאוד באמצע הלילה עם צעקות חזקות זה קורה כבר כמה פעמים
OTHER,LOW,צריך לבדוק משהו לא דחוף,בלובי,LOW,type_OTHER selected_LOW location_בלובי צריך לבדוק משהו לא דחוף
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול הדיירים התלוננו על זה,בחניה,MEDIUM,type_OTHER selected_MEDIUM location_בחניה בעיה שחוזרת כמה פעמים ודורשת טיפול הדיירים התלוננו על זה
SAFETY,HIGH,חוטי חשמל חשופים ליד הכניסה הדיירים התלוננו על זה,בגינה,HIGH,type_SAFETY selected_HIGH location_בגינה חוטי חשמל חשופים ליד הכניסה הדיירים התלוננו על זה
SAFETY,HIGH,יש סכנת התחשמלות נא לטפל בהקדם,בחדר מדרגות,HIGH,type_SAFETY selected_HIGH location_בחדר מדרגות יש סכנת התחשמלות נא לטפל בהקדם
NOISE,HIGH,שיפוצים מרעישים בשעות לא מתאימות,בקומה 5,MEDIUM,type_NOISE selected_HIGH location_בקומה 5 שיפוצים מרעישים בשעות לא מתאימות
OTHER,MEDIUM,יש בעיה מתמשכת בבניין זה קורה כבר כמה פעמים,בקומה 5,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 5 יש בעיה מתמשכת בבניין זה קורה כבר כמה פעמים
SAFETY,MEDIUM,מעקה רופף שצריך תיקון בהקדם,בקומה 2,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 2 מעקה רופף שצריך תיקון בהקדם
SAFETY,HIGH,שריפה קטנה בלובי,בקומה 2,HIGH,type_SAFETY selected_HIGH location_בקומה 2 שריפה קטנה בלובי
CLEANLINESS,MEDIUM,יש ריח לא נעים בלובי כבר יומיים,בלובי,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בלובי יש ריח לא נעים בלובי כבר יומיים
NOISE,LOW,רעש חריג מאוד באמצע הלילה עם צעקות חזקות נא לטפל בהקדם הדיירים התלוננו על זה,במחסן,HIGH,type_NOISE selected_LOW location_במחסן רעש חריג מאוד באמצע הלילה עם צעקות חזקות נא לטפל בהקדם הדיירים התלוננו על זה
CLEANLINESS,MEDIUM,נזילה קטנה שגרמה לרטיבות בקיר זה קורה כבר כמה פעמים נא לטפל בהקדם,,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ נזילה קטנה שגרמה לרטיבות בקיר זה קורה כבר כמה פעמים נא לטפל בהקדם
NOISE,HIGH,קולות חזקים של שבירה ואלימות מהדירה זה קורה כבר כמה פעמים,בקומה 5,HIGH,type_NOISE selected_HIGH location_בקומה 5 קולות חזקים של שבירה ואלימות מהדירה זה קורה כבר כמה פעמים
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול,בקומה 5,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 5 בעיה שחוזרת כמה פעמים ודורשת טיפול
NOISE,LOW,מישהו הזיז רהיטים לזמן קצר,בקומה 2,LOW,type_NOISE selected_LOW location_בקומה 2 מישהו הזיז רהיטים לזמן קצר
SAFETY,LOW,יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים נא לטפל בהקדם,ליד המעלית,LOW,type_SAFETY selected_LOW location_ליד המעלית יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים נא לטפל בהקדם
NOISE,MEDIUM,צעקות ורעש בחדר מדרגות,,MEDIUM,type_NOISE selected_MEDIUM location_ צעקות ורעש בחדר מדרגות
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים זה קורה כבר כמה פעמים,בחדר אשפה,MEDIUM,type_OTHER selected_MEDIUM location_בחדר אשפה תקלה שמשפיעה על כמה דיירים זה קורה כבר כמה פעמים
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף,בקומה 5,LOW,type_NOISE selected_LOW location_בקומה 5 יש רעש חלש מדי פעם אבל לא דחוף
NOISE,HIGH,מטרד רעש קיצוני ומתמשך,בקומה 1,HIGH,type_NOISE selected_HIGH location_בקומה 1 מטרד רעש קיצוני ומתמשך
OTHER,LOW,דיווח כללי ללא סכנה זה קורה כבר כמה פעמים נא לטפל בהקדם,בחניה,LOW,type_OTHER selected_LOW location_בחניה דיווח כללי ללא סכנה זה קורה כבר כמה פעמים נא לטפל בהקדם
